manifest_relative_path,actual_relative_path,path_resolution,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,verification,verified_at_utc,error_message
metadata/experiment_event_log.csv,metadata/experiment_event_log.csv,EXACT_UNDER_CASE_ROOT,232,232,52043ddc8c29b155340a5ba5458bb9754ffe83db0e212a4a5599c56aa5e9b7c7,52043ddc8c29b155340a5ba5458bb9754ffe83db0e212a4a5599c56aa5e9b7c7,MATCH,2026-07-18T13:44:45.547Z,
metadata/session_manifest.json,metadata/session_manifest.json,EXACT_UNDER_CASE_ROOT,2251,2251,f38b455da6cde95e52c79fd4987f009fd4e255b58480cd2e608bbd40de4d8178,f38b455da6cde95e52c79fd4987f009fd4e255b58480cd2e608bbd40de4d8178,MATCH,2026-07-18T13:44:45.551Z,
metadata/time_sync_after.txt,metadata/time_sync_after.txt,EXACT_UNDER_CASE_ROOT,892,892,39f196162ba6c518f1659b367c9c7be7a0f7075cd462f3a0db0fe78af348d630,39f196162ba6c518f1659b367c9c7be7a0f7075cd462f3a0db0fe78af348d630,MATCH,2026-07-18T13:44:45.554Z,
metadata/time_sync_before.txt,metadata/time_sync_before.txt,EXACT_UNDER_CASE_ROOT,892,892,fc6aa51b7067b0a23aee2df945f265b05415e070328d49795a2fc8dc028e3cef,fc6aa51b7067b0a23aee2df945f265b05415e070328d49795a2fc8dc028e3cef,MATCH,2026-07-18T13:44:45.557Z,
raw/baseline_wifi_adapter.pcapng,raw/baseline_wifi_adapter.pcapng,EXACT_UNDER_CASE_ROOT,376316,376316,f8b7e97864fd6afebea641c5f49eb1908da1b61832e107ed512b7e34c019c577,f8b7e97864fd6afebea641c5f49eb1908da1b61832e107ed512b7e34c019c577,MATCH,2026-07-18T13:44:45.560Z,
raw/openplc_evidence.csv,raw/openplc_evidence.csv,EXACT_UNDER_CASE_ROOT,36622,36622,c00ed9a0023637fe6a88005606a1d1ee24c4f9f042ba5e51ca06831bb78807f6,c00ed9a0023637fe6a88005606a1d1ee24c4f9f042ba5e51ca06831bb78807f6,MATCH,2026-07-18T13:44:45.566Z,
raw/raspi_evidence.csv,raw/raspi_evidence.csv,EXACT_UNDER_CASE_ROOT,49127,49127,d9aacd7df05836c54050026cf3237c5956970fd0ea63253efe5b81fd29c36186,d9aacd7df05836c54050026cf3237c5956970fd0ea63253efe5b81fd29c36186,MATCH,2026-07-18T13:44:45.573Z,
