evidence_id,relative_path,category,source,evidence_role,scenario,collector_session_id,size_bytes,sha256,status,notes
EVD-BASELINE-001,metadata/experiment_event_log.csv,collection_metadata,Collector,SUPPORTING_METADATA,BASELINE,collector-20260718T122308Z-8dba7023,232,52043ddc8c29b155340a5ba5458bb9754ffe83db0e212a4a5599c56aa5e9b7c7,PRESERVED,
EVD-BASELINE-002,metadata/hash_manifest.csv,integrity_metadata,Collector,ORIGINAL_HASH_MANIFEST,BASELINE,collector-20260718T122308Z-8dba7023,1187,dacc9f1e8efb0cd84875cf5f1c038bb3ccad8dd6ffa2866ec3636d43f4ada770,PRESERVED,
EVD-BASELINE-003,metadata/session_manifest.json,collection_metadata,Collector,SUPPORTING_METADATA,BASELINE,collector-20260718T122308Z-8dba7023,2251,f38b455da6cde95e52c79fd4987f009fd4e255b58480cd2e608bbd40de4d8178,PRESERVED,
EVD-BASELINE-004,metadata/time_sync_after.txt,collection_metadata,Collector,SUPPORTING_METADATA,BASELINE,collector-20260718T122308Z-8dba7023,892,39f196162ba6c518f1659b367c9c7be7a0f7075cd462f3a0db0fe78af348d630,PRESERVED,
EVD-BASELINE-005,metadata/time_sync_before.txt,collection_metadata,Collector,SUPPORTING_METADATA,BASELINE,collector-20260718T122308Z-8dba7023,892,fc6aa51b7067b0a23aee2df945f265b05415e070328d49795a2fc8dc028e3cef,PRESERVED,
EVD-BASELINE-006,raw/baseline_wifi_adapter.pcapng,raw_network,Wireshark/Npcap,NETWORK_EVIDENCE,BASELINE,collector-20260718T122308Z-8dba7023,376316,f8b7e97864fd6afebea641c5f49eb1908da1b61832e107ed512b7e34c019c577,PRESERVED,
EVD-BASELINE-007,raw/openplc_evidence.csv,raw_control,OpenPLC via Modbus TCP read-only,PRIMARY_CONTROL,BASELINE,collector-20260718T122308Z-8dba7023,36622,c00ed9a0023637fe6a88005606a1d1ee24c4f9f042ba5e51ca06831bb78807f6,PRESERVED,
EVD-BASELINE-008,raw/raspi_evidence.csv,raw_source,Raspberry Pi via HTTP state proxy,PRIMARY_SOURCE,BASELINE,collector-20260718T122308Z-8dba7023,49127,d9aacd7df05836c54050026cf3237c5956970fd0ea63253efe5b81fd29c36186,PRESERVED,
