experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raw_registers_unsigned,raw_registers_signed,raw_coils
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000011,11,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:10.389Z,2026-07-18T12:26:10.431Z,41.979,1.0,2026-07-18T12:26:10.430Z,2026-07-18T12:26:10.431Z,0.557,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,109,109,0,9,100,9,FALSE,TRUE,FALSE,"[109,109,0,9,100,9]","[109,109,0,9,100,9]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000012,12,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:11.389Z,2026-07-18T12:26:11.431Z,42.034,1.0,2026-07-18T12:26:11.430Z,2026-07-18T12:26:11.431Z,0.982,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,109,109,0,9,100,9,FALSE,TRUE,FALSE,"[109,109,0,9,100,9]","[109,109,0,9,100,9]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000013,13,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:12.390Z,2026-07-18T12:26:12.430Z,40.705,0.0,2026-07-18T12:26:12.430Z,2026-07-18T12:26:12.430Z,0.581,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,110,110,2,10,110,0,FALSE,FALSE,TRUE,"[110,110,2,10,110,0]","[110,110,2,10,110,0]","[false,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000014,14,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:13.390Z,2026-07-18T12:26:13.425Z,35.042,2.0,2026-07-18T12:26:13.424Z,2026-07-18T12:26:13.425Z,1.092,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,110,110,2,10,110,0,FALSE,FALSE,TRUE,"[110,110,2,10,110,0]","[110,110,2,10,110,0]","[false,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000015,15,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:14.390Z,2026-07-18T12:26:14.424Z,33.866,1.0,2026-07-18T12:26:14.424Z,2026-07-18T12:26:14.424Z,0.577,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,110,110,2,10,110,0,FALSE,FALSE,TRUE,"[110,110,2,10,110,0]","[110,110,2,10,110,0]","[false,false,true]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000016,16,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:15.391Z,2026-07-18T12:26:15.440Z,49.159,1.0,2026-07-18T12:26:15.439Z,2026-07-18T12:26:15.440Z,0.96,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,111,111,0,1,110,1,FALSE,TRUE,FALSE,"[111,111,0,1,110,1]","[111,111,0,1,110,1]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000017,17,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:16.391Z,2026-07-18T12:26:16.440Z,48.688,1.0,2026-07-18T12:26:16.440Z,2026-07-18T12:26:16.440Z,0.561,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,112,112,0,2,110,2,FALSE,TRUE,FALSE,"[112,112,0,2,110,2]","[112,112,0,2,110,2]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000018,18,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:17.392Z,2026-07-18T12:26:17.450Z,58.19,2.0,2026-07-18T12:26:17.449Z,2026-07-18T12:26:17.450Z,1.139,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,112,112,0,2,110,2,FALSE,TRUE,FALSE,"[112,112,0,2,110,2]","[112,112,0,2,110,2]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000019,19,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:18.392Z,2026-07-18T12:26:18.423Z,30.793,1.0,2026-07-18T12:26:18.422Z,2026-07-18T12:26:18.423Z,0.696,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,113,113,0,3,110,3,FALSE,TRUE,FALSE,"[113,113,0,3,110,3]","[113,113,0,3,110,3]","[false,true,false]"
EXP-P1-01,PERLAKUAN_1_FDI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260718T122600Z-53c3e2f1,collector-20260718T122600Z-53c3e2f1-COL-000020,20,Youma-PC,2026-07-18T12:26:00.210Z,2026-07-18T12:26:19.392Z,2026-07-18T12:26:19.423Z,30.985,1.0,2026-07-18T12:26:19.423Z,2026-07-18T12:26:19.423Z,0.653,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,113,113,0,3,110,3,FALSE,TRUE,FALSE,"[113,113,0,3,110,3]","[113,113,0,3,110,3]","[false,true,false]"
