relative_path,size_bytes,modified_at_utc,hash_algorithm,sha256,hashed_at_utc
metadata/experiment_event_log.csv,232,2026-07-28T09:58:43.954Z,SHA-256,980c2e55c2c3ae88eb3b131901f57e6df0f2130d8ef194996efe3999a92ff268,2026-07-28T09:58:56.425Z
metadata/session_manifest.json,2944,2026-07-28T09:58:56.347Z,SHA-256,1db55d86f5efaa9e06e6a252e30b1abd63adac0e8363c7672ee4632eac1cb5bc,2026-07-28T09:58:56.460Z
metadata/time_sync_after.txt,906,2026-07-28T09:58:56.345Z,SHA-256,39998a6879522f53de97a3119d6af72ff831d2b9b9cb330b0f23a1cd76efdb3e,2026-07-28T09:58:56.488Z
metadata/time_sync_before.txt,906,2026-07-28T09:58:43.949Z,SHA-256,6aef348768181b87cc2d4da270564b145cbf0d640d4a6bc998e69063c9770fa0,2026-07-28T09:58:56.519Z
raw/openplc_evidence.csv,1948,2026-07-28T09:58:56.190Z,SHA-256,a7c7ce69e98f3bef5d9615cc807ca02c0e161134b587674458aa18dee43584c0,2026-07-28T09:58:56.547Z
raw/raspi_evidence.csv,2135,2026-07-28T09:58:56.152Z,SHA-256,0893f554a2ce5f7727b4d3fde213658633a5dc9ee4a6b4ea785d0959e74c8b81,2026-07-28T09:58:56.585Z
