scenario,phase,record_count,observed_attack_value_count,controller_operational_impact_count,source_odo_encoding_rate_pct,source_odo_encoding_passed,source_odo_encoding_evaluated,source_flow_encoding_rate_pct,source_flow_encoding_passed,source_flow_encoding_evaluated,source_volume_encoding_rate_pct,source_volume_encoding_passed,source_volume_encoding_evaluated,source_payment_encoding_rate_pct,source_payment_encoding_passed,source_payment_encoding_evaluated,source_encoding_all_fields_rate_pct,source_encoding_all_fields_passed,source_encoding_all_fields_evaluated,cross_layer_odo_rate_pct,cross_layer_odo_passed,cross_layer_odo_evaluated,cross_layer_flow_rate_pct,cross_layer_flow_passed,cross_layer_flow_evaluated,cross_layer_volume_rate_pct,cross_layer_volume_passed,cross_layer_volume_evaluated,cross_layer_payment_rate_pct,cross_layer_payment_passed,cross_layer_payment_evaluated,cross_layer_sequence_rate_pct,cross_layer_sequence_passed,cross_layer_sequence_evaluated,cross_layer_valve_feedback_rate_pct,cross_layer_valve_feedback_passed,cross_layer_valve_feedback_evaluated,cross_layer_node_id_rate_pct,cross_layer_node_id_passed,cross_layer_node_id_evaluated,cross_layer_all_fields_rate_pct,cross_layer_all_fields_passed,cross_layer_all_fields_evaluated,plc_internal_odo_rate_pct,plc_internal_odo_passed,plc_internal_odo_evaluated,plc_logic_consistency_rate_pct,plc_logic_consistency_passed,plc_logic_consistency_evaluated,source_expected_valve_rate_pct,source_expected_valve_passed,source_expected_valve_evaluated
BASELINE,ALL,37,0,0,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37
BASELINE,BASELINE,37,0,0,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37
PERLAKUAN_2_FLOOD,ALL,69,6,6,100.0,69,69,100.0,69,69,100.0,69,69,100.0,69,69,100.0,69,69,86.275,44,51,98.039,50,51,100.0,51,51,100.0,51,51,98.039,50,51,100.0,51,51,100.0,51,51,86.275,44,51,94.118,48,51,94.118,48,51,88.235,45,51
PERLAKUAN_2_FLOOD,ATTACK,25,6,6,100.0,25,25,100.0,25,25,100.0,25,25,100.0,25,25,100.0,25,25,57.143,8,14,100.0,14,14,100.0,14,14,100.0,14,14,100.0,14,14,100.0,14,14,100.0,14,14,57.143,8,14,100.0,14,14,100.0,14,14,57.143,8,14
PERLAKUAN_2_FLOOD,POST_RECOVERY,7,0,0,100.0,7,7,100.0,7,7,100.0,7,7,100.0,7,7,100.0,7,7,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
PERLAKUAN_2_FLOOD,PRE_ATTACK,37,0,0,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,97.297,36,37,97.297,36,37,100.0,37,37,100.0,37,37,97.297,36,37,100.0,37,37,100.0,37,37,97.297,36,37,91.892,34,37,91.892,34,37,100.0,37,37
