manifest_relative_path,actual_relative_path,path_resolution,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,verification,verified_at_utc,error_message
metadata/experiment_event_log.csv,metadata/experiment_event_log.csv,EXACT_UNDER_CASE_ROOT,915,915,d0a3ef544154a21370981c9138aa2a578a48f148d4204730b023de2bcd95b13e,d0a3ef544154a21370981c9138aa2a578a48f148d4204730b023de2bcd95b13e,MATCH,2026-07-28T22:13:13.456Z,
metadata/session_manifest.json,metadata/session_manifest.json,EXACT_UNDER_CASE_ROOT,3019,3019,103c99ebdcbe1ce4d579226a17322c7d63581296e80e09aeb98bf552184ca0e9,103c99ebdcbe1ce4d579226a17322c7d63581296e80e09aeb98bf552184ca0e9,MATCH,2026-07-28T22:13:13.460Z,
metadata/time_sync_after.txt,metadata/time_sync_after.txt,EXACT_UNDER_CASE_ROOT,948,948,5e6f3c8c2a11bc83471b01f22565b276e45764c50e1ea0c8ec8d7aefce8fc5f5,5e6f3c8c2a11bc83471b01f22565b276e45764c50e1ea0c8ec8d7aefce8fc5f5,MATCH,2026-07-28T22:13:13.488Z,
metadata/time_sync_before.txt,metadata/time_sync_before.txt,EXACT_UNDER_CASE_ROOT,948,948,32d067201ecff4d0db591120d811bfcdcab959080bc95cee0323288f05298942,32d067201ecff4d0db591120d811bfcdcab959080bc95cee0323288f05298942,MATCH,2026-07-28T22:13:13.518Z,
raw/openplc_evidence.csv,raw/openplc_evidence.csv,EXACT_UNDER_CASE_ROOT,68310,68310,4451b04cd08772ea543e5f25bb984268c582b5c30c8ca336f429268f2df55c70,4451b04cd08772ea543e5f25bb984268c582b5c30c8ca336f429268f2df55c70,MATCH,2026-07-28T22:13:13.551Z,
raw/raspi_evidence.csv,raw/raspi_evidence.csv,EXACT_UNDER_CASE_ROOT,136551,136551,8c905e12e23243898d3b263f59416c10c5c69c156cde5a04ed290db1f9d1a3b0,8c905e12e23243898d3b263f59416c10c5c69c156cde5a04ed290db1f9d1a3b0,MATCH,2026-07-28T22:13:13.597Z,
