experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,raspi_read_started_at,raspi_read_finished_at,raspi_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,http_status_code,error_type,error_message,raw_state_sha256,raw_state_size_bytes,source_updated_at,source_updated_at_epoch_ms,source_age_ms,state_schema_version,sender_session_id,sender_started_at,sender_pid,state_sequence,bottle_event_sequence,event_type,sender_state,original_bottle_count,sent_bottle_count,batch_size,bottle_in_batch_source,expected_batch_full,expected_pusher_status,ready_for_next_batch,send_status,sender_error_message,protocol,target_device,target_ip,target_port,target_unit_id,bottle_count_register,ready_coil_address
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000011,11,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:18.729Z,2026-07-18T12:23:18.782Z,52.56,0.0,2026-07-18T12:23:18.729Z,2026-07-18T12:23:18.781Z,51.731,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,d3041100756bdb7cd15542e4a7740347e67965b0526d6a0aa9a88b4398776568,841,2026-07-18T12:23:16.671Z,1784377396672,2110.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,28,23,BOTTLE_COUNT_SENT,DATA_SENT,23,23,10,3,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000012,12,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:19.730Z,2026-07-18T12:23:19.782Z,52.427,1.0,2026-07-18T12:23:19.730Z,2026-07-18T12:23:19.781Z,50.97,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,d3041100756bdb7cd15542e4a7740347e67965b0526d6a0aa9a88b4398776568,841,2026-07-18T12:23:16.671Z,1784377396672,3110.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,28,23,BOTTLE_COUNT_SENT,DATA_SENT,23,23,10,3,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000013,13,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:20.730Z,2026-07-18T12:23:20.781Z,51.077,1.0,2026-07-18T12:23:20.730Z,2026-07-18T12:23:20.780Z,49.927,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,d4a8381f2dfec1d3b83d6bf0b85451411be8c3648af63bb45ba4f9d4b6bc4328,841,2026-07-18T12:23:18.702Z,1784377398702,2078.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,29,24,BOTTLE_COUNT_SENT,DATA_SENT,24,24,10,4,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000014,14,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:21.731Z,2026-07-18T12:23:21.791Z,60.197,1.0,2026-07-18T12:23:21.731Z,2026-07-18T12:23:21.790Z,59.228,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,d4a8381f2dfec1d3b83d6bf0b85451411be8c3648af63bb45ba4f9d4b6bc4328,841,2026-07-18T12:23:18.702Z,1784377398702,3088.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,29,24,BOTTLE_COUNT_SENT,DATA_SENT,24,24,10,4,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000015,15,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:22.731Z,2026-07-18T12:23:22.784Z,53.046,0.0,2026-07-18T12:23:22.731Z,2026-07-18T12:23:22.784Z,52.397,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,84fd0d8fb7297f0751f5a9967797dba14edb383615083e1853a87b754be2925e,841,2026-07-18T12:23:20.702Z,1784377400702,2082.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,30,25,BOTTLE_COUNT_SENT,DATA_SENT,25,25,10,5,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000016,16,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:23.732Z,2026-07-18T12:23:23.765Z,32.965,1.0,2026-07-18T12:23:23.732Z,2026-07-18T12:23:23.764Z,32.087,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,84fd0d8fb7297f0751f5a9967797dba14edb383615083e1853a87b754be2925e,841,2026-07-18T12:23:20.702Z,1784377400702,3062.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,30,25,BOTTLE_COUNT_SENT,DATA_SENT,25,25,10,5,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000017,17,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:24.733Z,2026-07-18T12:23:24.780Z,47.159,1.0,2026-07-18T12:23:24.733Z,2026-07-18T12:23:24.779Z,46.223,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,3304a4dcb791455f5f6d7a7efe29ae49c20be3837fce15d2e5bbb5da592cb702,841,2026-07-18T12:23:22.702Z,1784377402702,2077.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,31,26,BOTTLE_COUNT_SENT,DATA_SENT,26,26,10,6,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000018,18,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:25.733Z,2026-07-18T12:23:25.800Z,66.946,1.0,2026-07-18T12:23:25.733Z,2026-07-18T12:23:25.799Z,65.908,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,3304a4dcb791455f5f6d7a7efe29ae49c20be3837fce15d2e5bbb5da592cb702,841,2026-07-18T12:23:22.702Z,1784377402702,3097.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,31,26,BOTTLE_COUNT_SENT,DATA_SENT,26,26,10,6,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000019,19,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:26.733Z,2026-07-18T12:23:26.783Z,50.053,1.0,2026-07-18T12:23:26.733Z,2026-07-18T12:23:26.782Z,49.088,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,0ae82e4141dd95d03591977c818048e8478779c5401771931ddc01f977b71afc,841,2026-07-18T12:23:24.701Z,1784377404701,2081.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,32,27,BOTTLE_COUNT_SENT,DATA_SENT,27,27,10,7,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000020,20,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:27.733Z,2026-07-18T12:23:27.769Z,35.183,1.0,2026-07-18T12:23:27.733Z,2026-07-18T12:23:27.768Z,34.501,raspberry_pi,raspberrypi,http://192.168.100.122:5020/state,http_get_json_read_only,SUCCESS,200,,,0ae82e4141dd95d03591977c818048e8478779c5401771931ddc01f977b71afc,841,2026-07-18T12:23:24.701Z,1784377404701,3067.0,2.0,sender-20260718T122230Z-797517b8,2026-07-18T12:22:30.627Z,3277,32,27,BOTTLE_COUNT_SENT,DATA_SENT,27,27,10,7,FALSE,FALSE,TRUE,SUCCESS,,modbus_tcp,openplc,192.168.100.93,502,1,1024,1
