custody_id,timestamp_utc,person,action,source_location,destination_location,reason,verification_reference,status,notes
COC-001,2026-07-28T10:55:58.193Z,Mr. Y,SOURCE_VERIFIED,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\raw; C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\metadata,,Verifikasi raw terhadap collector hash manifest.,source_hash_verification.csv,COMPLETED,
COC-002,2026-07-28T10:55:58.193Z,Mr. Y,MASTER_COPY_CREATED,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\raw; C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\metadata,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\master,Membuat evidence acuan untuk preservation.,master_hash_verification.csv,COMPLETED,Master dibuat read-only setelah verifikasi berhasil.
COC-003,2026-07-28T10:55:58.193Z,Mr. Y,WORKING_COPY_CREATED,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\master,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\working,Membuat salinan untuk examination dan analysis.,working_hash_verification.csv,COMPLETED,
