experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000011,11,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:24.320Z,2026-07-28T13:07:24.375Z,54.871,9.0,2026-07-28T13:07:24.366Z,2026-07-28T13:07:24.375Z,8.452,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",12
EXP-P2-01,PERLAKUAN_3_KOMBINASI,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000012,12,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:25.320Z,2026-07-28T13:07:25.426Z,105.349,12.0,2026-07-28T13:07:25.414Z,2026-07-28T13:07:25.426Z,11.722,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",13
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000013,13,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:26.321Z,2026-07-28T13:07:26.433Z,111.912,12.0,2026-07-28T13:07:26.422Z,2026-07-28T13:07:26.433Z,10.925,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",14
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000014,14,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:27.321Z,2026-07-28T13:07:27.362Z,41.183,12.0,2026-07-28T13:07:27.350Z,2026-07-28T13:07:27.362Z,12.136,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",15
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000015,15,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:28.321Z,2026-07-28T13:07:28.364Z,42.85,11.0,2026-07-28T13:07:28.353Z,2026-07-28T13:07:28.364Z,10.734,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,1196,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,1196,0,1,39,1,0]","[39,375,38,1,1196,0,1,39,1,0]","[true,false,false]",16
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000016,16,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:29.322Z,2026-07-28T13:07:29.358Z,36.302,6.0,2026-07-28T13:07:29.352Z,2026-07-28T13:07:29.358Z,5.979,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,52,65,0.065,40,0.004,1,1197,0,1,52,1,0,TRUE,FALSE,FALSE,"[52,65,40,1,1197,0,1,52,1,0]","[52,65,40,1,1197,0,1,52,1,0]","[true,false,false]",17
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000017,17,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:30.322Z,2026-07-28T13:07:30.364Z,42.174,10.0,2026-07-28T13:07:30.354Z,2026-07-28T13:07:30.364Z,9.79,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",18
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000018,18,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:31.322Z,2026-07-28T13:07:31.367Z,45.12,16.0,2026-07-28T13:07:31.351Z,2026-07-28T13:07:31.367Z,15.985,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",19
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000019,19,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:32.322Z,2026-07-28T13:07:32.356Z,34.407,8.0,2026-07-28T13:07:32.348Z,2026-07-28T13:07:32.356Z,8.199,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",20
EXP-P2-01,PERLAKUAN_3_KOMBINASI,ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T130713Z-41eacbc5,collector-20260728T130713Z-41eacbc5-COL-000020,20,Youma-PC,2026-07-28T13:07:13.756Z,2026-07-28T13:07:33.322Z,2026-07-28T13:07:33.370Z,47.428,8.0,2026-07-28T13:07:33.362Z,2026-07-28T13:07:33.370Z,7.332,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,79,2250,2.25,14500,1.45,1,125,1,1,79,1,0,TRUE,FALSE,FALSE,"[79,2250,14500,1,125,1,1,79,1,0]","[79,2250,14500,1,125,1,1,79,1,0]","[true,false,false]",21
