session_directory,input_file,relative_path,manifest_file,expected_sha256,actual_sha256,verification_status
C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\raw\raspi_evidence.csv,raw/raspi_evidence.csv,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\metadata\hash_manifest.csv,148781642a869923a6998144a42381a587638d3631a49f5414118c82a47b81b1,148781642a869923a6998144a42381a587638d3631a49f5414118c82a47b81b1,VERIFIED
C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\raw\openplc_evidence.csv,raw/openplc_evidence.csv,C:\Users\user\Documents\PrivateProject\DFIR\evidence\BASELINE\collector-20260728T104439Z-e2668ad8\metadata\hash_manifest.csv,d7f0a5d0686ce5c705acc76a593797e9a6a1cd6fe3e90e732b3c4ee8a6b44d81,d7f0a5d0686ce5c705acc76a593797e9a6a1cd6fe3e90e732b3c4ee8a6b44d81,VERIFIED
C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5\raw\raspi_evidence.csv,raw/raspi_evidence.csv,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5\metadata\hash_manifest.csv,8c905e12e23243898d3b263f59416c10c5c69c156cde5a04ed290db1f9d1a3b0,8c905e12e23243898d3b263f59416c10c5c69c156cde5a04ed290db1f9d1a3b0,VERIFIED
C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5\raw\openplc_evidence.csv,raw/openplc_evidence.csv,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_3_KOMBINASI\collector-20260728T130713Z-41eacbc5\metadata\hash_manifest.csv,4451b04cd08772ea543e5f25bb984268c582b5c30c8ca336f429268f2df55c70,4451b04cd08772ea543e5f25bb984268c582b5c30c8ca336f429268f2df55c70,VERIFIED
