scenario,phase,collection_cycle_count,raspi_read_success_count,raspi_read_availability_rate_pct,sender_send_success_count,sender_send_availability_rate_pct,openplc_read_success_count,openplc_read_availability_rate_pct,register_read_success_count,register_read_availability_rate_pct,coil_read_success_count,coil_read_availability_rate_pct,complete_pair_count,paired_collection_rate_pct,mean_source_age_ms,max_source_age_ms,mean_sampling_skew_ms,max_sampling_skew_ms,source_sequence_observation_count,source_sequence_duplicate_observation_count,source_sequence_backward_count,source_sequence_gap_event_count,source_sequence_missing_value_count,source_sequence_unique_count
BASELINE,ALL,37,37,100.0,37,100.0,37,100.0,37,100.0,37,100.0,37,100.0,4592.054,7676.0,10.135,59.0,37,31,0,0,0,6
BASELINE,BASELINE,37,37,100.0,37,100.0,37,100.0,37,100.0,37,100.0,37,100.0,4592.054,7676.0,10.135,59.0,37,31,0,0,0,6
PERLAKUAN_3_KOMBINASI,ALL,110,96,87.273,64,58.182,61,55.455,61,55.455,61,55.455,110,100.0,4110.406,7998.0,447.955,1016.0,96,87,0,0,0,9
PERLAKUAN_3_KOMBINASI,ATTACK,81,81,100.0,52,64.198,49,60.494,49,60.494,49,60.494,81,100.0,4297.63,7998.0,394.457,1015.0,81,73,0,0,0,8
PERLAKUAN_3_KOMBINASI,POST_RECOVERY,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,100.0,,,1009.455,1016.0,0,0,0,0,0,0
PERLAKUAN_3_KOMBINASI,PRE_ATTACK,12,12,100.0,12,100.0,12,100.0,12,100.0,12,100.0,12,100.0,3443.75,7256.0,13.75,43.0,12,10,0,0,0,2
PERLAKUAN_3_KOMBINASI,RECOVERY,6,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,6,100.0,1722.0,2777.0,1009.167,1014.0,3,2,0,0,0,1
