scenario,phase,record_count,observed_attack_value_count,controller_operational_impact_count,source_odo_encoding_rate_pct,source_odo_encoding_passed,source_odo_encoding_evaluated,source_flow_encoding_rate_pct,source_flow_encoding_passed,source_flow_encoding_evaluated,source_volume_encoding_rate_pct,source_volume_encoding_passed,source_volume_encoding_evaluated,source_payment_encoding_rate_pct,source_payment_encoding_passed,source_payment_encoding_evaluated,source_encoding_all_fields_rate_pct,source_encoding_all_fields_passed,source_encoding_all_fields_evaluated,cross_layer_odo_rate_pct,cross_layer_odo_passed,cross_layer_odo_evaluated,cross_layer_flow_rate_pct,cross_layer_flow_passed,cross_layer_flow_evaluated,cross_layer_volume_rate_pct,cross_layer_volume_passed,cross_layer_volume_evaluated,cross_layer_payment_rate_pct,cross_layer_payment_passed,cross_layer_payment_evaluated,cross_layer_sequence_rate_pct,cross_layer_sequence_passed,cross_layer_sequence_evaluated,cross_layer_valve_feedback_rate_pct,cross_layer_valve_feedback_passed,cross_layer_valve_feedback_evaluated,cross_layer_node_id_rate_pct,cross_layer_node_id_passed,cross_layer_node_id_evaluated,cross_layer_all_fields_rate_pct,cross_layer_all_fields_passed,cross_layer_all_fields_evaluated,plc_internal_odo_rate_pct,plc_internal_odo_passed,plc_internal_odo_evaluated,plc_logic_consistency_rate_pct,plc_logic_consistency_passed,plc_logic_consistency_evaluated,source_expected_valve_rate_pct,source_expected_valve_passed,source_expected_valve_evaluated
BASELINE,ALL,37,0,0,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37
BASELINE,BASELINE,37,0,0,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37,100.0,37,37
PERLAKUAN_3_KOMBINASI,ALL,110,0,0,100.0,96,96,100.0,96,96,100.0,96,96,100.0,96,96,100.0,96,96,37.705,23,61,26.23,16,61,26.23,16,61,100.0,61,61,26.23,16,61,26.23,16,61,100.0,61,61,26.23,16,61,100.0,61,61,100.0,61,61,100.0,61,61
PERLAKUAN_3_KOMBINASI,ATTACK,81,0,0,100.0,81,81,100.0,81,81,100.0,81,81,100.0,81,81,100.0,81,81,22.449,11,49,8.163,4,49,8.163,4,49,100.0,49,49,8.163,4,49,8.163,4,49,100.0,49,49,8.163,4,49,100.0,49,49,100.0,49,49,100.0,49,49
PERLAKUAN_3_KOMBINASI,POST_RECOVERY,11,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
PERLAKUAN_3_KOMBINASI,PRE_ATTACK,12,0,0,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12,100.0,12,12
PERLAKUAN_3_KOMBINASI,RECOVERY,6,0,0,100.0,3,3,100.0,3,3,100.0,3,3,100.0,3,3,100.0,3,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
