evidence_id,relative_path,category,source,evidence_role,scenario,collector_session_id,size_bytes,sha256,status,notes
EVD-PERLAKUAN_1_FDI-001,metadata/experiment_event_log.csv,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,957,081cda81eae57689d7d101369737d7ff8b453d7018ec4546b1ee76ac79aa9109,PRESERVED,
EVD-PERLAKUAN_1_FDI-002,metadata/hash_manifest.csv,integrity_metadata,Collector,ORIGINAL_HASH_MANIFEST,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,1186,dc40c09608df8c63305e43d5b5b7999d232fd5c762fae7f3dbf37cbf3a79fd2b,PRESERVED,
EVD-PERLAKUAN_1_FDI-003,metadata/session_manifest.json,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,2315,0bcee29306ae67fdf9d641d5388ad857c0d9a876c97eb10a47b57735de095bc4,PRESERVED,
EVD-PERLAKUAN_1_FDI-004,metadata/time_sync_after.txt,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,892,4f43ee99b4d2ec46e05f40da49178ec6a596ec9fb7d39653ab6ee7d2f7086d9b,PRESERVED,
EVD-PERLAKUAN_1_FDI-005,metadata/time_sync_before.txt,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,892,1530d320aba7f2e0a80ced0f0673e425e1d80f257decca3d148b751cdeddcc88,PRESERVED,
EVD-PERLAKUAN_1_FDI-006,raw/fdi_loopback_adapter.pcapng,raw_network,Wireshark/Npcap,NETWORK_EVIDENCE,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,287648,6558ab9d542d893153919fd0770e4254bda695e2e54ceaacb3024d18fddb8fe9,PRESERVED,
EVD-PERLAKUAN_1_FDI-007,raw/openplc_evidence.csv,raw_control,OpenPLC via Modbus TCP read-only,PRIMARY_CONTROL,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,61599,c1a5ba1261522210f3bdcca53297b25232a5d6e1a54ceef27e6b8f3db65bd261,PRESERVED,
EVD-PERLAKUAN_1_FDI-008,raw/raspi_evidence.csv,raw_source,Raspberry Pi via HTTP state proxy,PRIMARY_SOURCE,PERLAKUAN_1_FDI,collector-20260718T122600Z-53c3e2f1,80020,cead45fae8c8c14c6b2c98c9da6786bac3efd64e5d1e2d3ee89253dc55bb0aa5,PRESERVED,
