manifest_relative_path,actual_relative_path,path_resolution,expected_size_bytes,actual_size_bytes,expected_sha256,actual_sha256,verification,verified_at_utc,error_message
metadata/experiment_event_log.csv,metadata/experiment_event_log.csv,EXACT_UNDER_CASE_ROOT,957,957,081cda81eae57689d7d101369737d7ff8b453d7018ec4546b1ee76ac79aa9109,081cda81eae57689d7d101369737d7ff8b453d7018ec4546b1ee76ac79aa9109,MATCH,2026-07-18T20:19:29.438Z,
metadata/session_manifest.json,metadata/session_manifest.json,EXACT_UNDER_CASE_ROOT,2315,2315,0bcee29306ae67fdf9d641d5388ad857c0d9a876c97eb10a47b57735de095bc4,0bcee29306ae67fdf9d641d5388ad857c0d9a876c97eb10a47b57735de095bc4,MATCH,2026-07-18T20:19:29.439Z,
metadata/time_sync_after.txt,metadata/time_sync_after.txt,EXACT_UNDER_CASE_ROOT,892,892,4f43ee99b4d2ec46e05f40da49178ec6a596ec9fb7d39653ab6ee7d2f7086d9b,4f43ee99b4d2ec46e05f40da49178ec6a596ec9fb7d39653ab6ee7d2f7086d9b,MATCH,2026-07-18T20:19:29.440Z,
metadata/time_sync_before.txt,metadata/time_sync_before.txt,EXACT_UNDER_CASE_ROOT,892,892,1530d320aba7f2e0a80ced0f0673e425e1d80f257decca3d148b751cdeddcc88,1530d320aba7f2e0a80ced0f0673e425e1d80f257decca3d148b751cdeddcc88,MATCH,2026-07-18T20:19:29.441Z,
raw/fdi_loopback_adapter.pcapng,raw/fdi_loopback_adapter.pcapng,EXACT_UNDER_CASE_ROOT,287648,287648,6558ab9d542d893153919fd0770e4254bda695e2e54ceaacb3024d18fddb8fe9,6558ab9d542d893153919fd0770e4254bda695e2e54ceaacb3024d18fddb8fe9,MATCH,2026-07-18T20:19:29.443Z,
raw/openplc_evidence.csv,raw/openplc_evidence.csv,EXACT_UNDER_CASE_ROOT,61599,61599,c1a5ba1261522210f3bdcca53297b25232a5d6e1a54ceef27e6b8f3db65bd261,c1a5ba1261522210f3bdcca53297b25232a5d6e1a54ceef27e6b8f3db65bd261,MATCH,2026-07-18T20:19:29.444Z,
raw/raspi_evidence.csv,raw/raspi_evidence.csv,EXACT_UNDER_CASE_ROOT,80020,80020,cead45fae8c8c14c6b2c98c9da6786bac3efd64e5d1e2d3ee89253dc55bb0aa5,cead45fae8c8c14c6b2c98c9da6786bac3efd64e5d1e2d3ee89253dc55bb0aa5,MATCH,2026-07-18T20:19:29.445Z,
