experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000011,11,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:18.729Z,2026-07-18T12:23:18.782Z,52.56,0.0,2026-07-18T12:23:18.781Z,2026-07-18T12:23:18.781Z,0.601,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,23,23,0,3,20,3,FALSE,TRUE,FALSE,"[23,23,0,3,20,3]","[23,23,0,3,20,3]","[false,true,false]",12
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000012,12,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:19.730Z,2026-07-18T12:23:19.782Z,52.427,1.0,2026-07-18T12:23:19.781Z,2026-07-18T12:23:19.782Z,1.207,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,23,23,0,3,20,3,FALSE,TRUE,FALSE,"[23,23,0,3,20,3]","[23,23,0,3,20,3]","[false,true,false]",13
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000013,13,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:20.730Z,2026-07-18T12:23:20.781Z,51.077,1.0,2026-07-18T12:23:20.780Z,2026-07-18T12:23:20.781Z,0.925,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,24,24,0,4,20,4,FALSE,TRUE,FALSE,"[24,24,0,4,20,4]","[24,24,0,4,20,4]","[false,true,false]",14
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000014,14,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:21.731Z,2026-07-18T12:23:21.791Z,60.197,1.0,2026-07-18T12:23:21.790Z,2026-07-18T12:23:21.791Z,0.769,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,24,24,0,4,20,4,FALSE,TRUE,FALSE,"[24,24,0,4,20,4]","[24,24,0,4,20,4]","[false,true,false]",15
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000015,15,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:22.731Z,2026-07-18T12:23:22.784Z,53.046,0.0,2026-07-18T12:23:22.784Z,2026-07-18T12:23:22.784Z,0.463,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,25,25,0,5,20,5,FALSE,TRUE,FALSE,"[25,25,0,5,20,5]","[25,25,0,5,20,5]","[false,true,false]",16
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000016,16,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:23.732Z,2026-07-18T12:23:23.765Z,32.965,1.0,2026-07-18T12:23:23.764Z,2026-07-18T12:23:23.765Z,0.682,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,25,25,0,5,20,5,FALSE,TRUE,FALSE,"[25,25,0,5,20,5]","[25,25,0,5,20,5]","[false,true,false]",17
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000017,17,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:24.733Z,2026-07-18T12:23:24.780Z,47.159,1.0,2026-07-18T12:23:24.779Z,2026-07-18T12:23:24.780Z,0.764,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,26,26,0,6,20,6,FALSE,TRUE,FALSE,"[26,26,0,6,20,6]","[26,26,0,6,20,6]","[false,true,false]",18
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000018,18,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:25.733Z,2026-07-18T12:23:25.800Z,66.946,1.0,2026-07-18T12:23:25.799Z,2026-07-18T12:23:25.800Z,0.88,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,26,26,0,6,20,6,FALSE,TRUE,FALSE,"[26,26,0,6,20,6]","[26,26,0,6,20,6]","[false,true,false]",19
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000019,19,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:26.733Z,2026-07-18T12:23:26.783Z,50.053,1.0,2026-07-18T12:23:26.782Z,2026-07-18T12:23:26.783Z,0.796,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,27,27,0,7,20,7,FALSE,TRUE,FALSE,"[27,27,0,7,20,7]","[27,27,0,7,20,7]","[false,true,false]",20
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000020,20,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:27.733Z,2026-07-18T12:23:27.769Z,35.183,1.0,2026-07-18T12:23:27.768Z,2026-07-18T12:23:27.769Z,0.556,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,27,27,0,7,20,7,FALSE,TRUE,FALSE,"[27,27,0,7,20,7]","[27,27,0,7,20,7]","[false,true,false]",21
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000021,21,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:28.734Z,2026-07-18T12:23:28.782Z,48.828,0.0,2026-07-18T12:23:28.782Z,2026-07-18T12:23:28.782Z,0.512,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,28,28,0,8,20,8,FALSE,TRUE,FALSE,"[28,28,0,8,20,8]","[28,28,0,8,20,8]","[false,true,false]",22
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000022,22,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:29.734Z,2026-07-18T12:23:29.774Z,39.805,1.0,2026-07-18T12:23:29.773Z,2026-07-18T12:23:29.774Z,0.736,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,28,28,0,8,20,8,FALSE,TRUE,FALSE,"[28,28,0,8,20,8]","[28,28,0,8,20,8]","[false,true,false]",23
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000023,23,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:30.735Z,2026-07-18T12:23:30.772Z,37.829,0.0,2026-07-18T12:23:30.772Z,2026-07-18T12:23:30.772Z,0.697,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,29,29,0,9,20,9,FALSE,TRUE,FALSE,"[29,29,0,9,20,9]","[29,29,0,9,20,9]","[false,true,false]",24
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000024,24,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:31.735Z,2026-07-18T12:23:31.778Z,43.328,0.0,2026-07-18T12:23:31.778Z,2026-07-18T12:23:31.778Z,0.53,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,29,29,0,9,20,9,FALSE,TRUE,FALSE,"[29,29,0,9,20,9]","[29,29,0,9,20,9]","[false,true,false]",25
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000025,25,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:32.735Z,2026-07-18T12:23:32.782Z,46.975,1.0,2026-07-18T12:23:32.782Z,2026-07-18T12:23:32.782Z,0.733,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,30,30,2,10,30,0,FALSE,FALSE,TRUE,"[30,30,2,10,30,0]","[30,30,2,10,30,0]","[false,false,true]",26
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000026,26,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:33.736Z,2026-07-18T12:23:33.781Z,45.19,1.0,2026-07-18T12:23:33.780Z,2026-07-18T12:23:33.781Z,0.759,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,30,30,2,10,30,0,FALSE,FALSE,TRUE,"[30,30,2,10,30,0]","[30,30,2,10,30,0]","[false,false,true]",27
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000027,27,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:34.736Z,2026-07-18T12:23:34.761Z,24.998,1.0,2026-07-18T12:23:34.761Z,2026-07-18T12:23:34.761Z,0.768,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,31,31,0,1,30,1,FALSE,TRUE,FALSE,"[31,31,0,1,30,1]","[31,31,0,1,30,1]","[false,true,false]",28
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000028,28,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:35.737Z,2026-07-18T12:23:35.787Z,49.796,1.0,2026-07-18T12:23:35.786Z,2026-07-18T12:23:35.787Z,0.57,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,31,31,0,1,30,1,FALSE,TRUE,FALSE,"[31,31,0,1,30,1]","[31,31,0,1,30,1]","[false,true,false]",29
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000029,29,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:36.737Z,2026-07-18T12:23:36.780Z,43.029,0.0,2026-07-18T12:23:36.780Z,2026-07-18T12:23:36.780Z,0.637,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,32,32,0,2,30,2,FALSE,TRUE,FALSE,"[32,32,0,2,30,2]","[32,32,0,2,30,2]","[false,true,false]",30
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000030,30,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:37.738Z,2026-07-18T12:23:37.781Z,42.223,0.0,2026-07-18T12:23:37.780Z,2026-07-18T12:23:37.780Z,0.593,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,32,32,0,2,30,2,FALSE,TRUE,FALSE,"[32,32,0,2,30,2]","[32,32,0,2,30,2]","[false,true,false]",31
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000031,31,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:38.739Z,2026-07-18T12:23:38.787Z,47.865,1.0,2026-07-18T12:23:38.786Z,2026-07-18T12:23:38.787Z,0.857,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,33,33,0,3,30,3,FALSE,TRUE,FALSE,"[33,33,0,3,30,3]","[33,33,0,3,30,3]","[false,true,false]",32
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000032,32,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:39.739Z,2026-07-18T12:23:39.780Z,40.856,1.0,2026-07-18T12:23:39.779Z,2026-07-18T12:23:39.780Z,0.768,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,33,33,0,3,30,3,FALSE,TRUE,FALSE,"[33,33,0,3,30,3]","[33,33,0,3,30,3]","[false,true,false]",33
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000033,33,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:40.740Z,2026-07-18T12:23:40.779Z,39.99,0.0,2026-07-18T12:23:40.779Z,2026-07-18T12:23:40.779Z,0.572,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,34,34,0,4,30,4,FALSE,TRUE,FALSE,"[34,34,0,4,30,4]","[34,34,0,4,30,4]","[false,true,false]",34
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000034,34,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:41.740Z,2026-07-18T12:23:41.795Z,55.474,0.0,2026-07-18T12:23:41.795Z,2026-07-18T12:23:41.795Z,0.598,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,34,34,0,4,30,4,FALSE,TRUE,FALSE,"[34,34,0,4,30,4]","[34,34,0,4,30,4]","[false,true,false]",35
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000035,35,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:42.741Z,2026-07-18T12:23:42.786Z,45.069,1.0,2026-07-18T12:23:42.785Z,2026-07-18T12:23:42.786Z,0.694,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,35,35,0,5,30,5,FALSE,TRUE,FALSE,"[35,35,0,5,30,5]","[35,35,0,5,30,5]","[false,true,false]",36
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000036,36,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:43.741Z,2026-07-18T12:23:43.796Z,54.248,1.0,2026-07-18T12:23:43.795Z,2026-07-18T12:23:43.796Z,0.695,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,35,35,0,5,30,5,FALSE,TRUE,FALSE,"[35,35,0,5,30,5]","[35,35,0,5,30,5]","[false,true,false]",37
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000037,37,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:44.742Z,2026-07-18T12:23:44.780Z,38.0,1.0,2026-07-18T12:23:44.779Z,2026-07-18T12:23:44.780Z,0.929,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,36,36,0,6,30,6,FALSE,TRUE,FALSE,"[36,36,0,6,30,6]","[36,36,0,6,30,6]","[false,true,false]",38
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000038,38,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:45.742Z,2026-07-18T12:23:45.785Z,42.731,1.0,2026-07-18T12:23:45.784Z,2026-07-18T12:23:45.785Z,0.569,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,36,36,0,6,30,6,FALSE,TRUE,FALSE,"[36,36,0,6,30,6]","[36,36,0,6,30,6]","[false,true,false]",39
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000039,39,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:46.743Z,2026-07-18T12:23:46.778Z,35.404,1.0,2026-07-18T12:23:46.777Z,2026-07-18T12:23:46.778Z,0.642,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,37,37,0,7,30,7,FALSE,TRUE,FALSE,"[37,37,0,7,30,7]","[37,37,0,7,30,7]","[false,true,false]",40
EXP-20260718T122308Z-5caf4c9b,BASELINE,BASELINE,command_line,collector-20260718T122308Z-8dba7023,collector-20260718T122308Z-8dba7023-COL-000040,40,Youma-PC,2026-07-18T12:23:08.573Z,2026-07-18T12:23:47.743Z,2026-07-18T12:23:47.778Z,34.604,1.0,2026-07-18T12:23:47.777Z,2026-07-18T12:23:47.778Z,0.595,openplc,192.168.100.93,modbus://192.168.100.93:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.100.93,502,1,1024,6,0,3,37,37,0,7,30,7,FALSE,TRUE,FALSE,"[37,37,0,7,30,7]","[37,37,0,7,30,7]","[false,true,false]",41
