timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T10:44:51.287Z,18,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000013,13,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,13
2026-07-28T10:44:52.267Z,19,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000014,14,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,14
2026-07-28T10:44:53.269Z,20,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000015,15,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,15
2026-07-28T10:44:53.866152Z,21,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,4,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=297;direction=REQUEST,working/raw/baseline.pcapng,297
2026-07-28T10:44:53.866418Z,22,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,4,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=298;direction=RESPONSE,working/raw/baseline.pcapng,298
2026-07-28T10:44:54.291Z,23,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000016,16,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,16
2026-07-28T10:44:55.302Z,24,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000017,17,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,17
2026-07-28T10:44:56.311Z,25,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000018,18,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,18
2026-07-28T10:44:57.290Z,26,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000019,19,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,19
2026-07-28T10:44:58.274Z,27,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000020,20,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,20
2026-07-28T10:44:59.279Z,28,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000021,21,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,21
2026-07-28T10:45:00.273Z,29,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000022,22,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,22
2026-07-28T10:45:00.877712Z,30,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,5,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=402;direction=REQUEST,working/raw/baseline.pcapng,402
2026-07-28T10:45:00.878285Z,31,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,BASELINE,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,5,16,1024,,,,,,SUCCESS,pcap=baseline.pcapng;packet=403;direction=RESPONSE,working/raw/baseline.pcapng,403
2026-07-28T10:45:01.275Z,32,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,BASELINE,collector-20260728T104439Z-e2668ad8-COL-000023,23,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,23
