relative_path,size_bytes,modified_at_utc,hash_algorithm,sha256,hashed_at_utc
metadata/experiment_event_log.csv,915,2026-07-28T13:09:00.224Z,SHA-256,d0a3ef544154a21370981c9138aa2a578a48f148d4204730b023de2bcd95b13e,2026-07-28T13:09:34.072Z
metadata/session_manifest.json,3019,2026-07-28T13:09:33.995Z,SHA-256,103c99ebdcbe1ce4d579226a17322c7d63581296e80e09aeb98bf552184ca0e9,2026-07-28T13:09:34.112Z
metadata/time_sync_after.txt,948,2026-07-28T13:09:33.992Z,SHA-256,5e6f3c8c2a11bc83471b01f22565b276e45764c50e1ea0c8ec8d7aefce8fc5f5,2026-07-28T13:09:34.144Z
metadata/time_sync_before.txt,948,2026-07-28T13:07:14.314Z,SHA-256,32d067201ecff4d0db591120d811bfcdcab959080bc95cee0323288f05298942,2026-07-28T13:09:34.175Z
raw/openplc_evidence.csv,68310,2026-07-28T13:09:33.860Z,SHA-256,4451b04cd08772ea543e5f25bb984268c582b5c30c8ca336f429268f2df55c70,2026-07-28T13:09:34.211Z
raw/raspi_evidence.csv,136551,2026-07-28T13:09:33.820Z,SHA-256,8c905e12e23243898d3b263f59416c10c5c69c156cde5a04ed290db1f9d1a3b0,2026-07-28T13:09:34.258Z
