timestamp,timestamp_utc,function_code,register_address,register_value,packet_number,transaction_id,source_file
2026-07-28 11:43:12.457483+00:00,2026-07-28T11:43:12.457Z,6,1024,100,458,25,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:12.458743+00:00,2026-07-28T11:43:12.458Z,6,1024,100,459,25,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:12.860388+00:00,2026-07-28T11:43:12.860Z,6,1024,100,467,27,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:12.860939+00:00,2026-07-28T11:43:12.860Z,6,1024,100,468,27,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:13.257780+00:00,2026-07-28T11:43:13.257Z,6,1024,100,478,29,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:13.258067+00:00,2026-07-28T11:43:13.258Z,6,1024,100,479,29,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:13.659806+00:00,2026-07-28T11:43:13.659Z,6,1024,100,486,31,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:13.660104+00:00,2026-07-28T11:43:13.660Z,6,1024,100,487,31,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.061482+00:00,2026-07-28T11:43:14.061Z,6,1024,100,508,33,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.061779+00:00,2026-07-28T11:43:14.061Z,6,1024,100,509,33,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.459183+00:00,2026-07-28T11:43:14.459Z,6,1024,100,519,35,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.459466+00:00,2026-07-28T11:43:14.459Z,6,1024,100,520,35,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.859646+00:00,2026-07-28T11:43:14.859Z,6,1024,100,528,37,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:14.859855+00:00,2026-07-28T11:43:14.859Z,6,1024,100,529,37,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:15.259677+00:00,2026-07-28T11:43:15.259Z,6,1024,100,543,39,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:15.259891+00:00,2026-07-28T11:43:15.259Z,6,1024,100,544,39,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:15.660546+00:00,2026-07-28T11:43:15.660Z,6,1024,100,551,41,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:15.660978+00:00,2026-07-28T11:43:15.660Z,6,1024,100,552,41,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.060358+00:00,2026-07-28T11:43:16.060Z,6,1024,100,562,43,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.060851+00:00,2026-07-28T11:43:16.060Z,6,1024,100,563,43,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.460976+00:00,2026-07-28T11:43:16.460Z,6,1024,100,570,45,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.461258+00:00,2026-07-28T11:43:16.461Z,6,1024,100,571,45,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.861307+00:00,2026-07-28T11:43:16.861Z,6,1024,100,577,47,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:16.861562+00:00,2026-07-28T11:43:16.861Z,6,1024,100,578,47,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:17.262056+00:00,2026-07-28T11:43:17.262Z,6,1024,100,588,49,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:17.262275+00:00,2026-07-28T11:43:17.262Z,6,1024,100,589,49,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:17.664763+00:00,2026-07-28T11:43:17.664Z,6,1024,100,602,51,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:17.664979+00:00,2026-07-28T11:43:17.664Z,6,1024,100,603,51,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.062318+00:00,2026-07-28T11:43:18.062Z,6,1024,100,614,53,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.062587+00:00,2026-07-28T11:43:18.062Z,6,1024,100,615,53,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.462947+00:00,2026-07-28T11:43:18.462Z,6,1024,100,622,55,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.463357+00:00,2026-07-28T11:43:18.463Z,6,1024,100,623,55,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.863400+00:00,2026-07-28T11:43:18.863Z,6,1024,100,630,57,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:18.863675+00:00,2026-07-28T11:43:18.863Z,6,1024,100,631,57,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:19.263787+00:00,2026-07-28T11:43:19.263Z,6,1024,100,639,59,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:19.264115+00:00,2026-07-28T11:43:19.264Z,6,1024,100,642,59,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:19.664562+00:00,2026-07-28T11:43:19.664Z,6,1024,100,658,61,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:19.664959+00:00,2026-07-28T11:43:19.664Z,6,1024,100,659,61,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.063976+00:00,2026-07-28T11:43:20.063Z,6,1024,100,673,63,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.064251+00:00,2026-07-28T11:43:20.064Z,6,1024,100,674,63,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.464056+00:00,2026-07-28T11:43:20.464Z,6,1024,100,681,65,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.464325+00:00,2026-07-28T11:43:20.464Z,6,1024,100,682,65,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.864902+00:00,2026-07-28T11:43:20.864Z,6,1024,100,688,67,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:20.865162+00:00,2026-07-28T11:43:20.865Z,6,1024,100,689,67,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:21.265030+00:00,2026-07-28T11:43:21.265Z,6,1024,100,702,69,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:21.265324+00:00,2026-07-28T11:43:21.265Z,6,1024,100,703,69,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:21.666812+00:00,2026-07-28T11:43:21.666Z,6,1024,100,710,71,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:21.667074+00:00,2026-07-28T11:43:21.667Z,6,1024,100,711,71,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:22.066054+00:00,2026-07-28T11:43:22.066Z,6,1024,100,725,73,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:22.066312+00:00,2026-07-28T11:43:22.066Z,6,1024,100,726,73,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
2026-07-28 11:43:22.466647+00:00,2026-07-28T11:43:22.466Z,6,1024,100,736,75,C:\Users\user\Documents\PrivateProject\DFIR\evidence\PERLAKUAN_1_FDI\collector-20260728T114259Z-42bbddba\analysis\examination\modbus_write_events.csv
