scenario,collection_id,collection_sequence,experiment_phase,observation_timestamp_utc,target_register,configured_attack_value,source_sent_odo_meter_litre,openplc_odo_meter_litre,openplc_odo_meter_processed,cross_layer_odo_match,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,source_expected_valve_command,controller_operational_impact,nearest_network_write_timestamp_utc,network_to_control_delay_seconds,network_correlation_status,evidence_interpretation
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000026,26,ATTACK,2026-07-28T11:43:24.716Z,1024,100,79,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:24.468Z,0.24729,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000027,27,ATTACK,2026-07-28T11:43:25.727Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:25.669Z,0.057177,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000028,28,ATTACK,2026-07-28T11:43:26.870Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:26.474Z,0.395504,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000029,29,ATTACK,2026-07-28T11:43:27.710Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:27.671Z,0.038772,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000030,30,ATTACK,2026-07-28T11:43:28.942Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:28.871Z,0.070214,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000031,31,ATTACK,2026-07-28T11:43:29.725Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:29.672Z,0.052386,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000032,32,ATTACK,2026-07-28T11:43:30.718Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:30.476Z,0.241704,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000033,33,ATTACK,2026-07-28T11:43:31.716Z,1024,100,88,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:31.674Z,0.041201,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000034,34,ATTACK,2026-07-28T11:43:32.725Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:32.475Z,0.249272,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000035,35,ATTACK,2026-07-28T11:43:33.712Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:33.677Z,0.034921,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000036,36,ATTACK,2026-07-28T11:43:34.712Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:34.480Z,0.231646,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000037,37,ATTACK,2026-07-28T11:43:35.732Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:35.566Z,0.165934,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000038,38,ATTACK,2026-07-28T11:43:36.728Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:36.673Z,0.054527,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000039,39,ATTACK,2026-07-28T11:43:37.728Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:37.474Z,0.253446,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba-COL-000040,40,ATTACK,2026-07-28T11:43:38.716Z,1024,100,12,100,100,FALSE,3,2,FALSE,TRUE,FALSE,TRUE,TRUE,2026-07-28T11:43:37.474Z,1.241446,CORRELATED,SOURCE_NORMAL_TO_NETWORK_WRITE_TO_OPENPLC_FALSE_VALUE
