correlation_id,observation_timestamp_utc,collection_id,collection_sequence,experiment_phase,source_original_value,source_sent_value,network_write_timestamp_utc,network_packet_number,network_transaction_id,network_function_code,network_register_address,network_register_value,control_observed_value,control_total_bottle,network_to_control_delay_seconds,source_match,cross_layer_match,plc_internal_match,correlation_window_seconds,correlation_status,evidence_chain
COR-P1-019,2026-07-18T12:26:46.442000Z,collector-20260718T122600Z-53c3e2f1-COL-000047,47,ATTACK,127,127,2026-07-18T12:26:46.336885Z,1169,101,6,1024,1000,1000,1000,0.105115,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-020,2026-07-18T12:26:47.453000Z,collector-20260718T122600Z-53c3e2f1-COL-000048,48,ATTACK,127,127,2026-07-18T12:26:47.137925Z,1193,105,6,1024,1000,1000,1000,0.315075,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-021,2026-07-18T12:26:48.452000Z,collector-20260718T122600Z-53c3e2f1-COL-000049,49,ATTACK,128,128,2026-07-18T12:26:48.339409Z,1249,111,6,1024,1000,1000,1000,0.112591,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-022,2026-07-18T12:26:49.452000Z,collector-20260718T122600Z-53c3e2f1-COL-000050,50,ATTACK,128,128,2026-07-18T12:26:49.140147Z,1274,115,6,1024,1000,1000,1000,0.311853,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-023,2026-07-18T12:26:50.452000Z,collector-20260718T122600Z-53c3e2f1-COL-000051,51,ATTACK,129,129,2026-07-18T12:26:50.341722Z,1330,121,6,1024,1000,1000,1000,0.110278,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-024,2026-07-18T12:26:51.462000Z,collector-20260718T122600Z-53c3e2f1-COL-000052,52,ATTACK,129,129,2026-07-18T12:26:51.142618Z,1354,125,6,1024,1000,1000,1000,0.319382,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-025,2026-07-18T12:26:52.452000Z,collector-20260718T122600Z-53c3e2f1-COL-000053,53,ATTACK,130,130,2026-07-18T12:26:52.343736Z,1410,131,6,1024,1000,1000,1000,0.108264,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-026,2026-07-18T12:26:53.451000Z,collector-20260718T122600Z-53c3e2f1-COL-000054,54,ATTACK,130,130,2026-07-18T12:26:53.144515Z,1434,135,6,1024,1000,1000,1000,0.306485,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-027,2026-07-18T12:26:54.435000Z,collector-20260718T122600Z-53c3e2f1-COL-000055,55,ATTACK,130,130,2026-07-18T12:26:54.345909Z,1490,141,6,1024,1000,1000,1000,0.089091,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-028,2026-07-18T12:26:55.450000Z,collector-20260718T122600Z-53c3e2f1-COL-000056,56,ATTACK,130,130,2026-07-18T12:26:55.146742Z,1514,145,6,1024,1000,1000,1000,0.303258,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
COR-P1-029,2026-07-18T12:26:56.490000Z,collector-20260718T122600Z-53c3e2f1-COL-000057,57,ATTACK,130,130,2026-07-18T12:26:55.947926Z,1548,149,6,1024,1000,1000,1000,0.542074,TRUE,FALSE,TRUE,2.5,CORRELATED,SOURCE_NORMAL -> FC06_WRITE -> OPENPLC_FALSE_VALUE
