experiment_id,scenario,experiment_phase,phase_source,collector_session_id,collection_id,collection_sequence,collector_host,collector_started_at,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,openplc_read_started_at,openplc_read_finished_at,openplc_read_duration_ms,source_layer,source_device,source_endpoint,acquisition_method,read_status,register_read_status,coil_read_status,error_type,error_message,openplc_ip,openplc_port,unit_id,holding_register_start,holding_register_count,coil_start,coil_count,odo_meter_from_pi,flow_rate_x1000_from_pi,flow_rate_lpm_decoded,volume_x10000_from_pi,volume_litre_decoded,payment_status_from_pi,source_sequence_from_pi,observed_valve_raw_from_pi,node_id_from_pi,odo_meter_processed,process_state,valve_reason,valve_command,abnormal_usage,payment_blocked,raw_registers_unsigned,raw_registers_signed,raw_coils,_source_csv_row
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000011,11,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:22.470Z,2026-07-28T11:51:22.514Z,44.377,8.0,2026-07-28T11:51:22.506Z,2026-07-28T11:51:22.514Z,8.349,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,27,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,27,1,0]","[39,375,38,1,572,0,1,27,1,0]","[true,false,false]",12
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000012,12,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:23.470Z,2026-07-28T11:51:23.500Z,29.835,5.0,2026-07-28T11:51:23.495Z,2026-07-28T11:51:23.500Z,5.159,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",13
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000013,13,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:24.471Z,2026-07-28T11:51:24.515Z,43.526,7.0,2026-07-28T11:51:24.507Z,2026-07-28T11:51:24.514Z,7.348,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",14
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000014,14,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:25.472Z,2026-07-28T11:51:25.518Z,46.509,12.0,2026-07-28T11:51:25.506Z,2026-07-28T11:51:25.518Z,11.985,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",15
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000015,15,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:26.472Z,2026-07-28T11:51:26.514Z,41.928,8.0,2026-07-28T11:51:26.506Z,2026-07-28T11:51:26.514Z,8.333,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",16
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000016,16,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:27.473Z,2026-07-28T11:51:27.511Z,38.515,6.0,2026-07-28T11:51:27.505Z,2026-07-28T11:51:27.511Z,5.815,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",17
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000017,17,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:28.473Z,2026-07-28T11:51:28.515Z,41.63,6.0,2026-07-28T11:51:28.509Z,2026-07-28T11:51:28.515Z,5.656,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,39,375,0.375,38,0.0038,1,572,0,1,39,1,0,TRUE,FALSE,FALSE,"[39,375,38,1,572,0,1,39,1,0]","[39,375,38,1,572,0,1,39,1,0]","[true,false,false]",18
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000018,18,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:29.474Z,2026-07-28T11:51:29.528Z,54.589,14.0,2026-07-28T11:51:29.514Z,2026-07-28T11:51:29.528Z,14.107,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,52,65,0.065,40,0.004,1,573,0,1,39,1,0,TRUE,FALSE,FALSE,"[52,65,40,1,573,0,1,39,1,0]","[52,65,40,1,573,0,1,39,1,0]","[true,false,false]",19
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000019,19,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:30.474Z,2026-07-28T11:51:30.518Z,44.483,5.0,2026-07-28T11:51:30.513Z,2026-07-28T11:51:30.518Z,4.826,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,52,65,0.065,40,0.004,1,573,0,1,52,1,0,TRUE,FALSE,FALSE,"[52,65,40,1,573,0,1,52,1,0]","[52,65,40,1,573,0,1,52,1,0]","[true,false,false]",20
EXP-P2-01,PERLAKUAN_2_FLOOD,PRE_ATTACK,C:\Users\user\Documents\PrivateProject\DFIR\experiment_phase.json,collector-20260728T115112Z-dc91fc98,collector-20260728T115112Z-dc91fc98-COL-000020,20,Youma-PC,2026-07-28T11:51:12.112Z,2026-07-28T11:51:31.474Z,2026-07-28T11:51:31.514Z,39.953,7.0,2026-07-28T11:51:31.507Z,2026-07-28T11:51:31.514Z,6.855,openplc_controller,192.168.21.209,modbus://192.168.21.209:502,modbus_tcp_read_only,SUCCESS,SUCCESS,SUCCESS,,,192.168.21.209,502,1,1024,10,0,3,52,65,0.065,40,0.004,1,573,0,1,52,1,0,TRUE,FALSE,FALSE,"[52,65,40,1,573,0,1,52,1,0]","[52,65,40,1,573,0,1,52,1,0]","[true,false,false]",21
