pcap_file,packet_number,adu_index,timestamp_utc,timestamp_epoch,interface_id,interface_name,interface_description,link_type,source_ip,destination_ip,source_port,destination_port,tcp_sequence,tcp_acknowledgment,tcp_flags,tcp_stream_key,direction,transaction_id,protocol_id,mbap_length,unit_id,function_code,function_name,is_exception,exception_code,register_address,quantity,register_value,register_values,coil_value,byte_count,pdu_hex,parse_status,parse_note
perlakuan2.pcapng,555,14,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,15,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,16,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,17,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,18,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,19,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,20,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,21,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,22,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,23,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
perlakuan2.pcapng,555,24,2026-07-28T11:51:50.924994Z,1785239510.9249938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,54910,502,65851727,2718882050,ACK,192.168.21.209:502<->192.168.21.210:54910,REQUEST,0,0,6,1,6,WRITE_SINGLE_REGISTER,FALSE,,1024,,1212,,,,06040004bc,SUCCESS,
