evidence_id,relative_path,category,source,evidence_role,scenario,collector_session_id,size_bytes,sha256,status,notes
EVD-PERLAKUAN_1_FDI-001,metadata/experiment_event_log.csv,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,918,3e5df57315c40c9ae1c54854b00bbdc5fa14aeabfae08bb87021acaf7dca3de2,PRESERVED,
EVD-PERLAKUAN_1_FDI-002,metadata/hash_manifest.csv,integrity_metadata,Collector,ORIGINAL_HASH_MANIFEST,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,1023,9b01ccbdd02d637d9ea826751e85ebb36ea84aa585fdd13b9273faf2d158887f,PRESERVED,
EVD-PERLAKUAN_1_FDI-003,metadata/session_manifest.json,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,3006,e41f790c90aa2d24fcc80f15fddca54ec0fe14c5064677cdb3528116f5a84e06,PRESERVED,
EVD-PERLAKUAN_1_FDI-004,metadata/time_sync_after.txt,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,906,bebe8bf19ceb870f46ef2af68efd216ae41d6889d878332d6d03271c3dc79f08,PRESERVED,
EVD-PERLAKUAN_1_FDI-005,metadata/time_sync_before.txt,collection_metadata,Collector,SUPPORTING_METADATA,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,906,3fc0826cf0578ebd1ee64067f23cfaa98f63cbad40c1312faf6d171cac8a9636,PRESERVED,
EVD-PERLAKUAN_1_FDI-006,raw/openplc_evidence.csv,raw_control,OpenPLC via Modbus TCP read-only,PRIMARY_CONTROL,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,44396,2dababa923613f1292bd6f8e643e500c3e88a66d48d0309de2dd0c57d8c40989,PRESERVED,
EVD-PERLAKUAN_1_FDI-007,raw/perlakuan1.pcapng,raw_network,Wireshark/Npcap,NETWORK_EVIDENCE,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,611480,7d16431ca7a5b605bfcd061e3d18d2a4ad36eb0c8cc9e98599b04196b73b3a1c,PRESERVED,
EVD-PERLAKUAN_1_FDI-008,raw/raspi_evidence.csv,raw_source,Raspberry Pi via HTTP state proxy,PRIMARY_SOURCE,PERLAKUAN_1_FDI,collector-20260728T114259Z-42bbddba,92086,29c85d405209e862165c1fc17f5a9f551bbfba17e6d49964f94943585e7e77ea,PRESERVED,
