pcap_file,packet_number,adu_index,timestamp_utc,timestamp_epoch,interface_id,interface_name,interface_description,link_type,source_ip,destination_ip,source_port,destination_port,tcp_sequence,tcp_acknowledgment,tcp_flags,tcp_stream_key,direction,transaction_id,protocol_id,mbap_length,unit_id,function_code,function_name,is_exception,exception_code,register_address,quantity,register_value,register_values,coil_value,byte_count,pdu_hex,parse_status,parse_note
perlakuan1.pcapng,103,0,2026-07-28T11:43:01.983679Z,1785238981.9836786,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125524,431785610,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,7,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,104,0,2026-07-28T11:43:01.983912Z,1785238981.9839118,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785610,2001125536,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,7,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,105,0,2026-07-28T11:43:01.985735Z,1785238981.9857347,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125536,431785639,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,8,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,106,0,2026-07-28T11:43:01.985928Z,1785238981.9859283,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785639,2001125548,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,8,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,181,0,2026-07-28T11:43:03.017438Z,1785238983.0174382,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125548,431785649,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,9,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,184,0,2026-07-28T11:43:03.017886Z,1785238983.017886,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785649,2001125560,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,9,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[39,375,38,1,500,0,1,39,1,0]",,20,0314002701770026000101f400000001002700010000,SUCCESS,
perlakuan1.pcapng,189,0,2026-07-28T11:43:03.025324Z,1785238983.0253236,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125560,431785678,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,10,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,190,0,2026-07-28T11:43:03.025546Z,1785238983.025546,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785678,2001125572,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,10,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,196,0,2026-07-28T11:43:03.378461Z,1785238983.378461,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.217,192.168.21.209,43387,502,3229890488,1825262888,ACK|PSH,192.168.21.209:502<->192.168.21.217:43387,REQUEST,501,0,21,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,"[52,65,40,1,501,0,1]",,14,10040000070e003400410028000101f500000001,SUCCESS,
perlakuan1.pcapng,197,0,2026-07-28T11:43:03.378694Z,1785238983.3786938,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.217,502,43387,1825262888,3229890515,ACK|PSH,192.168.21.209:502<->192.168.21.217:43387,RESPONSE,501,0,6,0,16,WRITE_MULTIPLE_REGISTERS,FALSE,,1024,7,,,,,1004000007,SUCCESS,
perlakuan1.pcapng,206,0,2026-07-28T11:43:03.983017Z,1785238983.9830174,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125572,431785688,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,11,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,207,0,2026-07-28T11:43:03.983309Z,1785238983.9833086,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785688,2001125584,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,11,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[52,65,40,1,501,0,1,52,1,0]",,20,0314003400410028000101f500000001003400010000,SUCCESS,
perlakuan1.pcapng,208,0,2026-07-28T11:43:03.990416Z,1785238983.9904158,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125584,431785717,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,12,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,209,0,2026-07-28T11:43:03.990745Z,1785238983.9907453,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785717,2001125596,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,12,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,222,0,2026-07-28T11:43:05.013716Z,1785238985.013716,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125596,431785727,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,13,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,223,0,2026-07-28T11:43:05.013965Z,1785238985.0139651,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785727,2001125608,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,13,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[52,65,40,1,501,0,1,52,1,0]",,20,0314003400410028000101f500000001003400010000,SUCCESS,
perlakuan1.pcapng,224,0,2026-07-28T11:43:05.015936Z,1785238985.0159361,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125608,431785756,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,14,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,225,0,2026-07-28T11:43:05.016133Z,1785238985.0161328,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785756,2001125620,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,14,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,238,0,2026-07-28T11:43:06.002733Z,1785238986.002733,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125620,431785766,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,15,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
perlakuan1.pcapng,239,0,2026-07-28T11:43:06.002929Z,1785238986.0029294,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785766,2001125632,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,15,0,23,0,3,READ_HOLDING_REGISTERS,FALSE,,,,,"[52,65,40,1,501,0,1,52,1,0]",,20,0314003400410028000101f500000001003400010000,SUCCESS,
perlakuan1.pcapng,240,0,2026-07-28T11:43:06.006277Z,1785238986.0062766,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125632,431785795,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,16,0,6,0,1,READ_COILS,FALSE,,0,3,,,,,0100000003,SUCCESS,
perlakuan1.pcapng,241,0,2026-07-28T11:43:06.006462Z,1785238986.0064623,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.209,192.168.21.210,502,61734,431785795,2001125644,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,RESPONSE,16,0,4,0,1,READ_COILS,FALSE,,,,,,,1,010101,SUCCESS,
perlakuan1.pcapng,248,0,2026-07-28T11:43:06.993833Z,1785238986.9938328,0,\Device\NPF_{205226CA-7599-4E30-A1C7-F94A3601DA74},Wi-Fi 2,1,192.168.21.210,192.168.21.209,61734,502,2001125644,431785805,ACK|PSH,192.168.21.209:502<->192.168.21.210:61734,REQUEST,17,0,6,0,3,READ_HOLDING_REGISTERS,FALSE,,1024,10,,,,,030400000a,SUCCESS,
