timestamp_utc,timeline_sequence,source_type,event_type,experiment_phase,collection_id,collection_sequence,source_ip,destination_ip,source_port,destination_port,tcp_stream_key,modbus_transaction_id,modbus_function_code,modbus_register_address,modbus_register_value,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,read_status,note,provenance_file,provenance_record
2026-07-28T11:43:08.461001Z,18,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,5,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=299;direction=REQUEST,working/raw/perlakuan1.pcapng,299
2026-07-28T11:43:08.461863Z,19,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,5,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=300;direction=RESPONSE,working/raw/perlakuan1.pcapng,300
2026-07-28T11:43:08.714Z,20,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000010,10,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,10
2026-07-28T11:43:08.853088Z,21,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,7,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=319;direction=REQUEST,working/raw/perlakuan1.pcapng,319
2026-07-28T11:43:08.853300Z,22,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,7,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=320;direction=RESPONSE,working/raw/perlakuan1.pcapng,320
2026-07-28T11:43:09.254409Z,23,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,9,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=332;direction=REQUEST,working/raw/perlakuan1.pcapng,332
2026-07-28T11:43:09.254733Z,24,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,9,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=333;direction=RESPONSE,working/raw/perlakuan1.pcapng,333
2026-07-28T11:43:09.657434Z,25,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,11,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=343;direction=REQUEST,working/raw/perlakuan1.pcapng,343
2026-07-28T11:43:09.657692Z,26,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,11,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=344;direction=RESPONSE,working/raw/perlakuan1.pcapng,344
2026-07-28T11:43:09.716Z,27,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000011,11,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,11
2026-07-28T11:43:10.064454Z,28,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,13,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=356;direction=REQUEST,working/raw/perlakuan1.pcapng,356
2026-07-28T11:43:10.064923Z,29,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,13,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=357;direction=RESPONSE,working/raw/perlakuan1.pcapng,357
2026-07-28T11:43:10.388217Z,30,PCAP_MODBUS,REQUEST_WRITE_MULTIPLE_REGISTERS,ATTACK,,,192.168.21.217,192.168.21.209,43387,502,192.168.21.209:502<->192.168.21.217:43387,502,16,1024,,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=370;direction=REQUEST,working/raw/perlakuan1.pcapng,370
2026-07-28T11:43:10.388447Z,31,PCAP_MODBUS,RESPONSE_WRITE_MULTIPLE_REGISTERS,ATTACK,,,192.168.21.209,192.168.21.217,502,43387,192.168.21.209:502<->192.168.21.217:43387,502,16,1024,,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=371;direction=RESPONSE,working/raw/perlakuan1.pcapng,371
2026-07-28T11:43:10.458080Z,32,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,15,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=377;direction=REQUEST,working/raw/perlakuan1.pcapng,377
2026-07-28T11:43:10.458377Z,33,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,15,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=378;direction=RESPONSE,working/raw/perlakuan1.pcapng,378
2026-07-28T11:43:10.731Z,34,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000012,12,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,12
2026-07-28T11:43:10.857586Z,35,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,17,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=398;direction=REQUEST,working/raw/perlakuan1.pcapng,398
2026-07-28T11:43:10.857918Z,36,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,17,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=399;direction=RESPONSE,working/raw/perlakuan1.pcapng,399
2026-07-28T11:43:11.255563Z,37,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,19,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=413;direction=REQUEST,working/raw/perlakuan1.pcapng,413
2026-07-28T11:43:11.255851Z,38,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,19,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=414;direction=RESPONSE,working/raw/perlakuan1.pcapng,414
2026-07-28T11:43:11.656227Z,39,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,21,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=431;direction=REQUEST,working/raw/perlakuan1.pcapng,431
2026-07-28T11:43:11.656528Z,40,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,21,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=432;direction=RESPONSE,working/raw/perlakuan1.pcapng,432
2026-07-28T11:43:11.718Z,41,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000013,13,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,13
2026-07-28T11:43:12.056764Z,42,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,23,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=447;direction=REQUEST,working/raw/perlakuan1.pcapng,447
2026-07-28T11:43:12.057059Z,43,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,23,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=448;direction=RESPONSE,working/raw/perlakuan1.pcapng,448
2026-07-28T11:43:12.457483Z,44,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,25,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=458;direction=REQUEST,working/raw/perlakuan1.pcapng,458
2026-07-28T11:43:12.458743Z,45,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,25,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=459;direction=RESPONSE,working/raw/perlakuan1.pcapng,459
2026-07-28T11:43:12.711Z,46,CROSS_LAYER_COLLECTION,PAIRED_COLLECTION_RECORD,ATTACK,collector-20260728T114259Z-42bbddba-COL-000014,14,,,,,,,,,,,,,,raspi=SUCCESS;openplc=SUCCESS,source_match=;cross_layer_match=;plc_internal_match=,working/raw/raspi_evidence.csv + working/raw/openplc_evidence.csv,14
2026-07-28T11:43:12.860388Z,47,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,27,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=467;direction=REQUEST,working/raw/perlakuan1.pcapng,467
2026-07-28T11:43:12.860939Z,48,PCAP_MODBUS,RESPONSE_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.209,192.168.21.210,502,61744,192.168.21.209:502<->192.168.21.210:61744,27,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=468;direction=RESPONSE,working/raw/perlakuan1.pcapng,468
2026-07-28T11:43:13.257780Z,49,PCAP_MODBUS,REQUEST_WRITE_SINGLE_REGISTER,ATTACK,,,192.168.21.210,192.168.21.209,61744,502,192.168.21.209:502<->192.168.21.210:61744,29,6,1024,100,,,,,SUCCESS,pcap=perlakuan1.pcapng;packet=478;direction=REQUEST,working/raw/perlakuan1.pcapng,478
