experiment_id,scenario,experiment_phase,collector_session_id,collection_id,collection_sequence,cycle_started_at,cycle_completed_at,acquisition_window_ms,sampling_skew_ms,original_bottle_count,sent_bottle_count,bottle_count_from_pi,total_bottle,process_state,bottle_in_batch,last_processed_batch_count,bottle_remainder,pusher_output,ready_for_next_batch,batch_full,raspi_read_status,openplc_read_status,register_read_status,coil_read_status,send_status,source_match,cross_layer_match,plc_internal_match,raspi_acquisition_success,openplc_acquisition_success,pairing_status
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000017,17,2026-07-28T11:43:15.675Z,2026-07-28T11:43:15.731Z,55.275,12.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000018,18,2026-07-28T11:43:16.675Z,2026-07-28T11:43:16.720Z,44.541,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000019,19,2026-07-28T11:43:17.676Z,2026-07-28T11:43:17.708Z,31.865,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000020,20,2026-07-28T11:43:18.677Z,2026-07-28T11:43:18.710Z,33.141,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000021,21,2026-07-28T11:43:19.677Z,2026-07-28T11:43:19.986Z,308.912,285.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000022,22,2026-07-28T11:43:20.677Z,2026-07-28T11:43:20.726Z,48.728,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000023,23,2026-07-28T11:43:21.677Z,2026-07-28T11:43:21.706Z,28.667,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000024,24,2026-07-28T11:43:22.678Z,2026-07-28T11:43:22.716Z,38.147,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000025,25,2026-07-28T11:43:23.678Z,2026-07-28T11:43:23.728Z,49.787,8.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000026,26,2026-07-28T11:43:24.679Z,2026-07-28T11:43:24.716Z,37.111,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000027,27,2026-07-28T11:43:25.679Z,2026-07-28T11:43:25.727Z,48.15,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000028,28,2026-07-28T11:43:26.679Z,2026-07-28T11:43:26.870Z,190.352,167.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000029,29,2026-07-28T11:43:27.680Z,2026-07-28T11:43:27.710Z,30.099,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000030,30,2026-07-28T11:43:28.680Z,2026-07-28T11:43:28.942Z,261.943,238.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000031,31,2026-07-28T11:43:29.680Z,2026-07-28T11:43:29.725Z,44.339,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000032,32,2026-07-28T11:43:30.681Z,2026-07-28T11:43:30.718Z,37.161,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000033,33,2026-07-28T11:43:31.681Z,2026-07-28T11:43:31.716Z,34.957,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000034,34,2026-07-28T11:43:32.682Z,2026-07-28T11:43:32.725Z,43.475,8.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000035,35,2026-07-28T11:43:33.683Z,2026-07-28T11:43:33.712Z,29.726,4.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000036,36,2026-07-28T11:43:34.683Z,2026-07-28T11:43:34.712Z,28.394,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000037,37,2026-07-28T11:43:35.683Z,2026-07-28T11:43:35.732Z,48.826,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000038,38,2026-07-28T11:43:36.684Z,2026-07-28T11:43:36.728Z,44.244,6.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000039,39,2026-07-28T11:43:37.684Z,2026-07-28T11:43:37.728Z,43.381,5.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000040,40,2026-07-28T11:43:38.685Z,2026-07-28T11:43:38.716Z,31.47,7.0,,,,,3,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000041,41,2026-07-28T11:43:39.685Z,2026-07-28T11:43:39.729Z,44.007,6.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000042,42,2026-07-28T11:43:40.686Z,2026-07-28T11:43:40.733Z,47.703,5.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000043,43,2026-07-28T11:43:41.686Z,2026-07-28T11:43:41.730Z,44.121,9.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
EXP-P1-01,PERLAKUAN_1_FDI,ATTACK,collector-20260728T114259Z-42bbddba,collector-20260728T114259Z-42bbddba-COL-000044,44,2026-07-28T11:43:42.686Z,2026-07-28T11:43:43.089Z,402.656,378.0,,,,,1,,,,,,,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS,,,,TRUE,TRUE,PAIRED
